"","word","freq"
"walk","walk",9
"app","app",8
"black","black",8
"bomb","bomb",8
"chain","chain",8
"changed","changed",8
"chops","chops",8
"classy","classy",8
"coffee","coffee",8
"completely","completely",8
"crazy","crazy",8
"crowd","crowd",8
"cut","cut",8
"daily","daily",8
"deals","deals",8
"desserts","desserts",8
"different","different",8
"dine","dine",8
"drive","drive",8
"except","except",8
"exceptional","exceptional",8
"fan","fan",8
"feels","feels",8
"garage","garage",8
"glad","glad",8
"green","green",8
"group","group",8
"hope","hope",8
"inside","inside",8
"instead","instead",8
"items","items",8
"leave","leave",8
"longer","longer",8
"maki","maki",8
"needs","needs",8
"often","often",8
"option","option",8
"outback","outback",8
"pasta","pasta",8
"peanuts","peanuts",8
"perfectly","perfectly",8
"pick","pick",8
"please","please",8
"portion","portion",8
"ranch","ranch",8
"return","return",8
"review","review",8
"roast","roast",8
"run","run",8
"save","save",8
"shake","shake",8
"short","short",8
"simply","simply",8
"size","size",8
"something","something",8
"space","space",8
"star","star",8
"tuesdays","tuesdays",8
"turn","turn",8
"unique","unique",8
"wanted","wanted",8
"wines","wines",8
"world","world",8
"100","100",7
"1st","1st",7
"7pm","7pm",7
"although","although",7
"ambience","ambience",7
"anniversary","anniversary",7
"asked","asked",7
"ate","ate",7
"beware","beware",7
"bill","bill",7
"caesar","caesar",7
"charge","charge",7
"chefs","chefs",7
"chop","chop",7
"comes","comes",7
"comfortable","comfortable",7
"complaints","complaints",7
"cook","cook",7
"cozy","cozy",7
"damn","damn",7
"delish","delish",7
"door","door",7
"dragon","dragon",7
"east","east",7
"eaten","eaten",7
"empty","empty",7
"entrees","entrees",7
"fashioneds","fashioneds",7
"garlic","garlic",7
"gave","gave",7
"glasses","glasses",7
"goes","goes",7
"heard","heard",7
"hotel","hotel",7
"impressive","impressive",7
"job","job",7
"kitchen","kitchen",7
"longhorn","longhorn",7
"lounge","lounge",7
"meh","meh",7
"mignon","mignon",7
"min","min",7
"mins","mins",7
"miss","miss",7
"neat","neat",7
"offer","offer",7
"ohio","ohio",7
"omg","omg",7
"owner","owner",7
"point","point",7
"problem","problem",7
"quite","quite",7
"rice","rice",7
